id,answer_text
5733be284776f41900661182,Saint Bernadette Soubirous
5733be284776f4190066117f,a copper statue of Christ
5733be284776f41900661180,the Main Building
5733be284776f41900661181,a Marian place of prayer and reflection
5733be284776f4190066117e,a golden statue of the Virgin Mary
5733bf84d058e614000b61be,September 1876
5733bf84d058e614000b61bf,twice
5733bf84d058e614000b61c0,The Observer
5733bf84d058e614000b61bd,three
5733bf84d058e614000b61c1,1987
5733bed24776f41900661188,Rome
5733bed24776f41900661189,Moreau Seminary
5733bed24776f4190066118a,Old College
5733bed24776f4190066118b,Retired priests and brothers
5733bed24776f4190066118c,Buechner Prize for Preaching
5733a6424776f41900660f51,eight
5733a6424776f41900660f4e,1920
5733a6424776f41900660f4f,the College of Science
5733a6424776f41900660f50,five
5733a6424776f41900660f52,the 1870s
5733a70c4776f41900660f64,Learning Resource Center
5733a70c4776f41900660f62,five
5733a70c4776f41900660f63,The First Year of Studies program
5733a70c4776f41900660f65,U.S. News & World Report
5733a7bd4776f41900660f6b,1924
5733a7bd4776f41900660f6c,Master of Divinity
5733a7bd4776f41900660f6e,Alliance for Catholic Education
5733a7bd4776f41900660f6a,1854
5733a7bd4776f41900660f6d,Department of Pre-Professional Studies
5733ac31d058e614000b5ff3,Joan B. Kroc Institute for International Peace Studies
5733ac31d058e614000b5ff6,President Emeritus of the University of Notre Dame
5733ac31d058e614000b5ff4,1986
5733ac31d058e614000b5ff5,Ray Kroc
5733ac31d058e614000b5ff7,McDonald's
5733ad384776f41900660fec,14
5733ad384776f41900660fed,Theodore M. Hesburgh Library
5733ad384776f41900660fee,1963
5733ad384776f41900660fef,Millard Sheets
5733ad384776f41900660ff0,Touchdown Jesus
5733ae924776f41900661014,"3,577"
5733ae924776f41900661013,19.7%
5733ae924776f41900661015,the top 10 to 15 in the nation
5733ae924776f41900661016,39.1%
5733ae924776f41900661017,more than 750 miles
5733afd3d058e614000b6045,18th overall
5733afd3d058e614000b6047,8th
5733afd3d058e614000b6048,1st overall
5733afd3d058e614000b6046,USA Today
5733afd3d058e614000b6049,57.6%
5733b0fb4776f41900661041,"Father Joseph Carrier, C.S.C."
5733b0fb4776f41900661043,1851–1921
5733b0fb4776f41900661044,the Science Department
5733b0fb4776f41900661045,Evolution and Dogma
5733b0fb4776f41900661042,Professor of Chemistry and Physics
5733b1da4776f41900661068,1882
5733b1da4776f41900661069,Professor Jerome Green
5733b1da4776f4190066106a,Around 1899
5733b1da4776f4190066106b,Father Julius Nieuwland
5733b1da4776f41900661067,an early wind tunnel
5733b2fe4776f4190066108f,The Lobund Institute
